pizza_id,order_id,pizza_name_id,quantity,order_date,order_time,unit_price,total_price,pizza_size,pizza_category,pizza_ingredients,pizza_name
1.00,1.00,classic_dlx_m,1.00,1/1/2025,18:38:56,16.00,16.00,M,Classic,Pizza Ingredients,The Classic Dlx M Pizza
2.00,1.00,mexicana_m,1.00,1/1/2025,14:21:15,16.00,16.00,M,Veggie,Pizza Ingredients,The Mexicana M Pizza
3.00,1.00,classic_dlx_m,1.00,1/1/2025,20:13:26,16.00,16.00,M,Classic,Pizza Ingredients,The Classic Dlx M Pizza
4.00,2.00,thai_ckn_l,1.00,1/1/2025,14:35:39,20.75,20.75,L,Chicken,Pizza Ingredients,The Thai Ckn L Pizza
5.00,2.00,mexicana_m,1.00,1/1/2025,21:37:38,16.00,16.00,M,Veggie,Pizza Ingredients,The Mexicana M Pizza
6.00,2.00,ital_supr_m,1.00,1/1/2025,20:59:47,16.50,16.50,M,Supreme,Pizza Ingredients,The Ital Supr M Pizza
7.00,2.00,classic_dlx_m,1.00,1/1/2025,11:16:22,16.00,16.00,M,Classic,Pizza Ingredients,The Classic Dlx M Pizza
8.00,2.00,hawaiian_m,1.00,1/1/2025,19:26:32,13.25,13.25,M,Classic,Pizza Ingredients,The Hawaiian M Pizza
9.00,2.00,pepperoni_m,1.00,1/1/2025,13:26:30,12.50,12.50,M,Classic,Pizza Ingredients,The Pepperoni M Pizza
10.00,2.00,hawaiian_m,1.00,1/1/2025,15:36:40,13.25,13.25,M,Classic,Pizza Ingredients,The Hawaiian M Pizza
11.00,2.00,thai_ckn_l,1.00,1/1/2025,16:14:43,20.75,20.75,L,Chicken,Pizza Ingredients,The Thai Ckn L Pizza
12.00,3.00,five_cheese_l,1.00,1/1/2025,14:18:42,18.50,18.50,L,Veggie,Pizza Ingredients,The Five Cheese L Pizza
13.00,3.00,thai_ckn_l,1.00,1/1/2025,22:38:33,20.75,20.75,L,Chicken,Pizza Ingredients,The Thai Ckn L Pizza
14.00,3.00,pepperoni_m,1.00,1/1/2025,22:55:05,12.50,12.50,M,Classic,Pizza Ingredients,The Pepperoni M Pizza
15.00,3.00,thai_ckn_l,1.00,1/1/2025,15:46:52,20.75,20.75,L,Chicken,Pizza Ingredients,The Thai Ckn L Pizza
16.00,3.00,mexicana_m,1.00,1/1/2025,15:11:12,16.00,16.00,M,Veggie,Pizza Ingredients,The Mexicana M Pizza
17.00,3.00,thai_ckn_l,1.00,1/1/2025,16:22:57,20.75,20.75,L,Chicken,Pizza Ingredients,The Thai Ckn L Pizza
18.00,4.00,classic_dlx_m,1.00,1/1/2025,13:06:22,16.00,16.00,M,Classic,Pizza Ingredients,The Classic Dlx M Pizza
19.00,4.00,mexicana_m,1.00,1/1/2025,11:27:54,16.00,16.00,M,Veggie,Pizza Ingredients,The Mexicana M Pizza
20.00,4.00,hawaiian_m,1.00,1/1/2025,15:36:56,13.25,13.25,M,Classic,Pizza Ingredients,The Hawaiian M Pizza
21.00,5.00,classic_dlx_m,1.00,1/1/2025,15:58:17,16.00,16.00,M,Classic,Pizza Ingredients,The Classic Dlx M Pizza
22.00,6.00,thai_ckn_l,1.00,1/1/2025,14:52:28,20.75,20.75,L,Chicken,Pizza Ingredients,The Thai Ckn L Pizza
23.00,6.00,classic_dlx_m,1.00,1/1/2025,12:02:52,16.00,16.00,M,Classic,Pizza Ingredients,The Classic Dlx M Pizza
24.00,6.00,mexicana_m,1.00,1/1/2025,13:58:23,16.00,16.00,M,Veggie,Pizza Ingredients,The Mexicana M Pizza
25.00,6.00,ital_supr_m,1.00,1/1/2025,11:42:02,16.50,16.50,M,Supreme,Pizza Ingredients,The Ital Supr M Pizza
26.00,6.00,ital_supr_m,1.00,1/1/2025,21:51:07,16.50,16.50,M,Supreme,Pizza Ingredients,The Ital Supr M Pizza
27.00,6.00,mexicana_m,1.00,1/1/2025,14:24:09,16.00,16.00,M,Veggie,Pizza Ingredients,The Mexicana M Pizza
28.00,7.00,hawaiian_m,1.00,1/1/2025,22:47:22,13.25,13.25,M,Classic,Pizza Ingredients,The Hawaiian M Pizza
29.00,7.00,thai_ckn_l,1.00,1/1/2025,22:29:59,20.75,20.75,L,Chicken,Pizza Ingredients,The Thai Ckn L Pizza
30.00,7.00,ital_supr_m,1.00,1/1/2025,19:25:43,16.50,16.50,M,Supreme,Pizza Ingredients,The Ital Supr M Pizza
31.00,7.00,pepperoni_m,1.00,1/1/2025,11:31:02,12.50,12.50,M,Classic,Pizza Ingredients,The Pepperoni M Pizza
32.00,8.00,thai_ckn_l,1.00,1/1/2025,16:25:48,20.75,20.75,L,Chicken,Pizza Ingredients,The Thai Ckn L Pizza
33.00,8.00,bbq_ckn_s,1.00,1/1/2025,17:34:34,12.75,12.75,S,Chicken,Pizza Ingredients,The Bbq Ckn S Pizza
34.00,9.00,hawaiian_m,1.00,1/1/2025,13:35:30,13.25,13.25,M,Classic,Pizza Ingredients,The Hawaiian M Pizza
35.00,9.00,ital_supr_m,1.00,1/1/2025,13:20:14,16.50,16.50,M,Supreme,Pizza Ingredients,The Ital Supr M Pizza
36.00,9.00,thai_ckn_l,1.00,1/1/2025,13:03:41,20.75,20.75,L,Chicken,Pizza Ingredients,The Thai Ckn L Pizza
37.00,10.00,pepperoni_m,1.00,1/1/2025,18:09:04,12.50,12.50,M,Classic,Pizza Ingredients,The Pepperoni M Pizza
38.00,10.00,pepperoni_m,1.00,1/1/2025,21:37:55,12.50,12.50,M,Classic,Pizza Ingredients,The Pepperoni M Pizza
39.00,10.00,ital_supr_m,1.00,1/1/2025,11:55:30,16.50,16.50,M,Supreme,Pizza Ingredients,The Ital Supr M Pizza
40.00,10.00,pepperoni_m,1.00,1/1/2025,14:53:07,12.50,12.50,M,Classic,Pizza Ingredients,The Pepperoni M Pizza
41.00,10.00,thai_ckn_l,1.00,1/1/2025,11:06:42,20.75,20.75,L,Chicken,Pizza Ingredients,The Thai Ckn L Pizza
42.00,11.00,bbq_ckn_s,1.00,1/1/2025,12:50:49,12.75,12.75,S,Chicken,Pizza Ingredients,The Bbq Ckn S Pizza
43.00,11.00,hawaiian_m,1.00,1/1/2025,21:31:12,13.25,13.25,M,Classic,Pizza Ingredients,The Hawaiian M Pizza
44.00,11.00,pepperoni_m,1.00,1/1/2025,12:07:31,12.50,12.50,M,Classic,Pizza Ingredients,The Pepperoni M Pizza
45.00,11.00,pepperoni_m,1.00,1/1/2025,15:23:20,12.50,12.50,M,Classic,Pizza Ingredients,The Pepperoni M Pizza
46.00,12.00,classic_dlx_m,1.00,1/1/2025,12:07:01,16.00,16.00,M,Classic,Pizza Ingredients,The Classic Dlx M Pizza
47.00,12.00,mexicana_m,1.00,1/1/2025,14:26:44,16.00,16.00,M,Veggie,Pizza Ingredients,The Mexicana M Pizza
48.00,12.00,classic_dlx_m,1.00,1/1/2025,11:54:37,16.00,16.00,M,Classic,Pizza Ingredients,The Classic Dlx M Pizza
